Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CH4
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C1 Emisiones de GEI por quemado de biomasa,3C1b Emisiones de quemado de biomasa en tierras de cultivo,,688.09
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C1 Emisiones de GEI por quemado de biomasa,3C1c Emisiones de quemado de biomasa en tierras praderas,,76.28
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C1 Emisiones de GEI por quemado de biomasa,3C1d Emisiones de quemado de biomasa en otras tierras,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C2 Encalado,,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C3 Aplicación de urea,,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C4 Emisiones directas de los N2O de los suelos gestionados,,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C5 Emisiones indirectas de los N2O de los suelos gestionados,,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C6 Emisiones indirectas de los N2O de la gestión del estiércol,,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3C7 Cultivo del arroz,,,154.41
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3D1 Productos de madera recolectada,,,0.00
2014,"3 Agricultura, silvicultura y otros usos de la tierra",3C Fuentes agregadas y fuentes de emisión no CO2 de la tierra,3D2 Otros (especificar),,,0.00
2014,4 Residuos,4A Eliminación de residuos sólidos,4A1 Sitios gestionados de eliminación de residuos (rellenos sanitarios),,,16137.38
2014,4 Residuos,4A Eliminación de residuos sólidos,4A2 Sitios no controlados de eliminación de residuos ,,,2326.93
2014,4 Residuos,4A Eliminación de residuos sólidos,4A3 Tiraderos a cielo abierto para eliminación de residuos,,,2315.50
2014,4 Residuos,4B Tratamiento biológico de los residuos sólidos,,,,116.66
2014,4 Residuos,4C Incineración y quema a cielo abierto  de residuos,4C1 Incineración de residuos peligrosos industriales y biológico infeccioso,,,0.11
2014,4 Residuos,4C Incineración y quema a cielo abierto  de residuos,4C2 Quema a cielo abierto de residuos sólidos,,,659.46
2014,4 Residuos,4D Tratamiento y eliminación de aguas residuales,4D1 Tratamiento y eliminación de aguas residuales municipales,,,3558.22
2014,4 Residuos,4D Tratamiento y eliminación de aguas residuales,4D2 Tratamiento y eliminación de aguas residuales industriales,,,16450.16
2014,4 Residuos,4E Otros,,,,0.00
2014,Fines informativos (no se suman a las emisiones nacionales),Bunkers,Aviación internacional,,,0.81
2014,Fines informativos (no se suman a las emisiones nacionales),Bunkers,Marítimo internacional,,,0.00
2014,Fines informativos (no se suman a las emisiones nacionales),Emisiones de CO2 por quema de biomasa,,,,0.00
